product,handle,category,n,scene,industries,prompt
Premium Strapping Tape in 5 Sizes x 66m,premium-strapping-tapes,strapping-tapes,3,Tensioned close-up,,"an extreme close-up of strapping tape pulled taut over a carton edge, the reinforcing filaments clearly visible under tension; hard directional light. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Cross Weave Filament Tape | 2-Way/Bi-Directional,cross-weave-filament-tapes,filament-tapes,1,Heavy carton,Warehouse Packaging Logistics,"filament tape reinforcing the seam of a heavy double-wall carton on a dispatch bench, glass fibres visible in the tape; bright industrial lighting. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Cross Weave Filament Tape | 2-Way/Bi-Directional,cross-weave-filament-tapes,filament-tapes,2,Pipe bundle,Warehouse Packaging Logistics,"hands bundling lengths of PVC pipe with filament tape in a trade supplier's yard; bright daylight, long depth of field. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Cross Weave Filament Tape | 2-Way/Bi-Directional,cross-weave-filament-tapes,filament-tapes,3,Fibre macro,Warehouse Packaging Logistics,"an extreme macro of filament tape stretched across a corner, individual glass filaments catching the light; dark background, dramatic lighting. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
KIT -Dispenser and Tapes,kit-dispenser-and-tapes,tapes-dispensers,1,Packing bench,,"a warehouse worker's hands running a handheld tape gun along the centre seam of a plain kraft carton on a stainless packing bench; stacks of flattened boxes and a label printer softly blurred behind, bright industrial daylight. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
KIT -Dispenser and Tapes,kit-dispenser-and-tapes,tapes-dispensers,2,Benchtop station,,"a benchtop tape dispenser with a weighted base on a workshop bench, a hand drawing a length of clear tape across the cutting blade; hand tools and a steel rule arranged nearby, warm workshop lighting from a window. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
KIT -Dispenser and Tapes,kit-dispenser-and-tapes,tapes-dispensers,3,Dispatch line,,"an over-the-shoulder view of a dispatch operator sealing the last of a row of identical kraft cartons along a roller conveyor, tape gun mid-stroke; long depth of field down the line, cool warehouse lighting. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
FrogTape – Delicate Surface Tape,frog-tapes-delicate-surface,masking-tape,1,Wall cut-in,"Display Signage, Joinery Kitchen Furniture","a painter's hand pulling a strip of masking tape along the junction of a wall and white skirting board, roller tray and brush blurred on a drop sheet below; bright interior daylight. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
FrogTape – Delicate Surface Tape,frog-tapes-delicate-surface,masking-tape,2,Automotive spray,"Display Signage, Joinery Kitchen Furniture","a spray booth technician masking a car panel with tape and paper before painting, crisp tape edge along the panel gap; even booth lighting, matte primer surface. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
FrogTape – Delicate Surface Tape,frog-tapes-delicate-surface,masking-tape,3,Clean paint line,"Display Signage, Joinery Kitchen Furniture","an extreme close-up of tape being peeled back to reveal a perfectly sharp paint line between two wall colours; shallow depth of field, soft natural light. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
FrogTape – Multi-Surface Masking Tape,frog-tapes-multi-surface,masking-tape,1,Wall cut-in,"Display Signage, Joinery Kitchen Furniture","a painter's hand pulling a strip of masking tape along the junction of a wall and white skirting board, roller tray and brush blurred on a drop sheet below; bright interior daylight. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
FrogTape – Multi-Surface Masking Tape,frog-tapes-multi-surface,masking-tape,2,Automotive spray,"Display Signage, Joinery Kitchen Furniture","a spray booth technician masking a car panel with tape and paper before painting, crisp tape edge along the panel gap; even booth lighting, matte primer surface. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
FrogTape – Multi-Surface Masking Tape,frog-tapes-multi-surface,masking-tape,3,Clean paint line,"Display Signage, Joinery Kitchen Furniture","an extreme close-up of tape being peeled back to reveal a perfectly sharp paint line between two wall colours; shallow depth of field, soft natural light. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Coloured Polypropylene Packing Tape – 48mm x 100m,coloured-polypropylene-packaging-tapes,packaging-tapes,1,Carton seal,Warehouse Packaging Logistics,"an extreme close-up of clear packaging tape being pressed along the H-seam of a kraft carton, the tape's slight sheen catching the light and the cardboard flute texture visible at the edge; shallow depth of field. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Coloured Polypropylene Packing Tape – 48mm x 100m,coloured-polypropylene-packaging-tapes,packaging-tapes,2,Pallet of sealed cartons,Warehouse Packaging Logistics,"a shrink-free pallet stacked with uniformly sealed plain kraft cartons in a clean warehouse aisle, tape lines crisp and parallel across every lid; orange racking receding softly out of focus. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Coloured Polypropylene Packing Tape – 48mm x 100m,coloured-polypropylene-packaging-tapes,packaging-tapes,3,E-commerce packing,Warehouse Packaging Logistics,"a small-business owner taping a parcel closed on a timber worktable surrounded by tissue paper and a stack of ready-to-post boxes; soft warm window light, homely studio atmosphere. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Glue Dots Removable Adhesive (5000 Dots),glue-dots-removable-adhesive,glue-dots,1,Direct mail,,"hands attaching a plain card to a folded leaflet with a clear adhesive dot at a mailing bench, stacks of prepared items either side; even bright light. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Glue Dots Removable Adhesive (5000 Dots),glue-dots-removable-adhesive,glue-dots,2,Retail POS,,"a clear adhesive dot holding a small unbranded sample sachet to a plain shelf card in a retail aisle; shallow depth of field, warm store lighting. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Glue Dots Removable Adhesive (5000 Dots),glue-dots-removable-adhesive,glue-dots,3,Craft bench,,"a maker pressing a small embellishment onto a card blank with an adhesive dot, craft tools and paper scraps around; warm window light, cosy atmosphere. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
HH400R Hang Tab – 60mm x 50mm (1000 tabs),hh400r-hang-tab,hang-tab,1,Retail peg display,,"a clean retail shelf with plain clear-plastic hang tabs suspending unbranded blister-packed products from a pegboard hook rail; bright even store lighting, shallow depth of field down the row. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
HH400R Hang Tab – 60mm x 50mm (1000 tabs),hh400r-hang-tab,hang-tab,2,Attaching a tab,,"a merchandiser's fingers pressing a self-adhesive clear hang tab onto the top edge of a plain product carton at a bench; neat rows of prepared cartons behind. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
HH400R Hang Tab – 60mm x 50mm (1000 tabs),hh400r-hang-tab,hang-tab,3,Hook rail detail,,"an extreme close-up of a clear hang tab hooked over a chrome peg, the plastic catching the light and the carton hanging square below; retail aisle bokeh. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
HT200S Hang Tab  – 40mm x 37mm (2400 tabs),ht200s-hang-tab,hang-tab,1,Retail peg display,,"a clean retail shelf with plain clear-plastic hang tabs suspending unbranded blister-packed products from a pegboard hook rail; bright even store lighting, shallow depth of field down the row. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
HT200S Hang Tab  – 40mm x 37mm (2400 tabs),ht200s-hang-tab,hang-tab,2,Attaching a tab,,"a merchandiser's fingers pressing a self-adhesive clear hang tab onto the top edge of a plain product carton at a bench; neat rows of prepared cartons behind. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
HT200S Hang Tab  – 40mm x 37mm (2400 tabs),ht200s-hang-tab,hang-tab,3,Hook rail detail,,"an extreme close-up of a clear hang tab hooked over a chrome peg, the plastic catching the light and the carton hanging square below; retail aisle bokeh. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
HT450 Hang Tab – 50mm x 50mm (1000 Tabs),ht450-hang-tab,hang-tab,1,Retail peg display,,"a clean retail shelf with plain clear-plastic hang tabs suspending unbranded blister-packed products from a pegboard hook rail; bright even store lighting, shallow depth of field down the row. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
HT450 Hang Tab – 50mm x 50mm (1000 Tabs),ht450-hang-tab,hang-tab,2,Attaching a tab,,"a merchandiser's fingers pressing a self-adhesive clear hang tab onto the top edge of a plain product carton at a bench; neat rows of prepared cartons behind. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
HT450 Hang Tab – 50mm x 50mm (1000 Tabs),ht450-hang-tab,hang-tab,3,Hook rail detail,,"an extreme close-up of a clear hang tab hooked over a chrome peg, the plastic catching the light and the carton hanging square below; retail aisle bokeh. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
HTH1 Hang Tab –  45mm x 50mm (Roll of 1000),hth1-hang-tab,hang-tab,1,Retail peg display,,"a clean retail shelf with plain clear-plastic hang tabs suspending unbranded blister-packed products from a pegboard hook rail; bright even store lighting, shallow depth of field down the row. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
HTH1 Hang Tab –  45mm x 50mm (Roll of 1000),hth1-hang-tab,hang-tab,2,Attaching a tab,,"a merchandiser's fingers pressing a self-adhesive clear hang tab onto the top edge of a plain product carton at a bench; neat rows of prepared cartons behind. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
HTH1 Hang Tab –  45mm x 50mm (Roll of 1000),hth1-hang-tab,hang-tab,3,Hook rail detail,,"an extreme close-up of a clear hang tab hooked over a chrome peg, the plastic catching the light and the carton hanging square below; retail aisle bokeh. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
